name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,car_age,brand,model,km_driven_bin
Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner,16,Maruti,800 AC,Medium
Maruti Wagon R LXI Minor,2007,135000,50000,Petrol,Individual,Manual,First Owner,16,Maruti,Wagon R LXI Minor,Low
Hyundai Verna 1.6 SX,2012,600000,100000,Diesel,Individual,Manual,First Owner,11,Hyundai,Verna 1.6 SX,Medium
Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,First Owner,6,Datsun,RediGO T Option,Low
Honda Amaze VX i-DTEC,2014,450000,141000,Diesel,Individual,Manual,Second Owner,9,Honda,Amaze VX i-DTEC,High
Maruti Alto LX BSIII,2007,140000,125000,Petrol,Individual,Manual,First Owner,16,Maruti,Alto LX BSIII,High
Hyundai Xcent 1.2 Kappa S,2016,550000,25000,Petrol,Individual,Manual,First Owner,7,Hyundai,Xcent 1.2 Kappa S,Low
Tata Indigo Grand Petrol,2014,240000,60000,Petrol,Individual,Manual,Second Owner,9,Tata,Indigo Grand Petrol,Medium
Hyundai Creta 1.6 VTVT S,2015,850000,25000,Petrol,Individual,Manual,First Owner,8,Hyundai,Creta 1.6 VTVT S,Low
Maruti Celerio Green VXI,2017,365000,78000,CNG,Individual,Manual,First Owner,6,Maruti,Celerio Green VXI,Medium
Chevrolet Sail 1.2 Base,2015,260000,35000,Petrol,Individual,Manual,First Owner,8,Chevrolet,Sail 1.2 Base,Low
Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Individual,Manual,First Owner,9,Tata,Indigo Grand Petrol,Medium
Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,Petrol,Dealer,Automatic,First Owner,5,Toyota,Corolla Altis 1.8 VL CVT,Low
Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,First Owner,16,Maruti,800 AC,Medium
Maruti Wagon R LXI Minor,2007,135000,50000,Petrol,Individual,Manual,First Owner,16,Maruti,Wagon R LXI Minor,Low
Hyundai Verna 1.6 SX,2012,600000,100000,Diesel,Individual,Manual,First Owner,11,Hyundai,Verna 1.6 SX,Medium
Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,First Owner,6,Datsun,RediGO T Option,Low
Honda Amaze VX i-DTEC,2014,450000,141000,Diesel,Individual,Manual,Second Owner,9,Honda,Amaze VX i-DTEC,High
Maruti Alto LX BSIII,2007,140000,125000,Petrol,Individual,Manual,First Owner,16,Maruti,Alto LX BSIII,High
Hyundai Xcent 1.2 Kappa S,2016,550000,25000,Petrol,Individual,Manual,First Owner,7,Hyundai,Xcent 1.2 Kappa S,Low
Tata Indigo Grand Petrol,2014,240000,60000,Petrol,Individual,Manual,Second Owner,9,Tata,Indigo Grand Petrol,Medium
Hyundai Creta 1.6 VTVT S,2015,850000,25000,Petrol,Individual,Manual,First Owner,8,Hyundai,Creta 1.6 VTVT S,Low
Maruti Celerio Green VXI,2017,365000,78000,CNG,Individual,Manual,First Owner,6,Maruti,Celerio Green VXI,Medium
